,imdbID,imdbActorID,ActorName,tmdbActorID,tmdbActorName,Gender
87,tt0101526,nm0356342,Gísli Halldórsson,96523,Gísli Halldórsson,0
88,tt0101526,nm0353206,Sigríður Hagalín,96524,Sigríður Hagalín,1
89,tt0101526,nm0356341,Baldvin Halldórsson,96525,Baldvin Halldórsson,0
90,tt6866224,nm0251986,Jesse Eisenberg,44735,Jesse Eisenberg,2
91,tt6866224,nm0002907,Alexander Skarsgård,28846,Alexander Skarsgård,2
92,tt6866224,nm0000161,Salma Hayek,3136,Salma Hayek,1
93,tt1884268,nm0665555,Vinay Pathak,43416,Vinay Pathak,2
94,tt1884268,nm1069034,Lara Dutta,55063,Lara Dutta,1
95,tt1884268,nm1318999,Yana Gupta,566792,Yana Gupta,1
96,tt1951266,nm2225369,Jennifer Lawrence,72129,Jennifer Lawrence,1
97,tt1951266,nm1242688,Josh Hutcherson,27972,Josh Hutcherson,2
98,tt1951266,nm2955013,Liam Hemsworth,96066,Liam Hemsworth,2
99,tt0425094,nm0000459,Timothy Hutton,16327,Timothy Hutton,2
100,tt0425094,nm0000657,David Strathairn,11064,David Strathairn,2
101,tt0425094,nm0005447,Leelee Sobieski,22290,Leelee Sobieski,1
102,tt2717558,nm0664469,Piolo Pascual,150693,Piolo Pascual,0
103,tt2717558,nm2375377,Gerald Anderson,129555,Gerald Anderson,2
104,tt2717558,nm0868381,Joel Torre,278923,Joel Torre,2
105,tt0058155,nm0000489,Christopher Lee,113,Christopher Lee,2
106,tt0058155,nm0001088,Peter Cushing,5,Peter Cushing,2
107,tt0058155,nm0664390,Richard Pasco,85628,Richard Pasco,2
108,tt0106332,nm0002000,Leslie Cheung,69637,Leslie Cheung,2
109,tt0106332,nm0955342,Fengyi Zhang,65277,Zhang Fengyi,2
110,tt0106332,nm0000084,Gong Li,643,Gong Li,1
111,tt2438644,nm0509263,Nikolaj Lie Kaas,1018,Nikolaj Lie Kaas,2
112,tt2438644,nm1272258,Per Scheel Krüger,230346,Per Scheel Krüger,0
113,tt2438644,nm0527937,Troels Lyby,6123,Troels Lyby,2
114,tt0791303,nm0000147,Colin Firth,5472,Colin Firth,2
115,tt0791303,nm1549503,Perla Haney-Jardine,6585,Perla Haney-Jardine,1
116,tt0791303,nm1473267,Willa Holland,1223171,Willa Holland,1
117,tt1876277,nm0525518,Florian Lukas,4795,Florian Lukas,2
118,tt1876277,nm1269088,David Kross,5847,David Kross,2
119,tt1876277,nm2674236,Lachlan Nieboer,209998,Lachlan Nieboer,2
120,tt0253822,nm0839017,Kemal Sunal,97272,Kemal Sunal,2
122,tt0253822,nm0023062,Sevket Altug,1255735,Şevket Altuğ,0
123,tt1270286,nm1357477,Randy Wayne,84841,Randy Wayne,2
124,tt1270286,nm1670304,Deja Kreutzberg,96029,Deja Kreutzberg,1
125,tt1270286,nm2647119,Joshua Weigel,227886,Joshua Weigel,0
126,tt1368491,nm2046763,Cristian Mercado,146703,Cristian Mercado,0
127,tt1368491,nm0039978,Tatiana Astengo,1251670,Tatiana Astengo,0
128,tt1368491,nm0136572,Manolo Cardona,66914,Manolo Cardona,2
129,tt7784604,nm0001057,Toni Collette,3051,Toni Collette,1
130,tt7784604,nm8412536,Milly Shapiro,1945702,Milly Shapiro,1
131,tt7784604,nm0000321,Gabriel Byrne,5168,Gabriel Byrne,2
132,tt0085382,nm0908914,Dee Wallace,62001,Dee Wallace,1
133,tt0085382,nm0446298,Daniel Hugh Kelly,22111,Daniel Hugh Kelly,2
134,tt0085382,nm0001622,Danny Pintauro,65403,Danny Pintauro,2
135,tt0188674,nm0799591,John Simm,42604,John Simm,2
136,tt0188674,nm0683455,Lorraine Pilkington,68284,Lorraine Pilkington,1
137,tt0188674,nm0662744,Shaun Parkes,30316,Shaun Parkes,2
138,tt1718924,nm0124930,Gerard Butler,17276,Gerard Butler,2
139,tt1718924,nm0001543,Gretchen Mol,15370,Gretchen Mol,1
140,tt1718924,nm1555340,Alison Brie,88029,Alison Brie,1
141,tt8869978,nm7021807,Mrunal Thakur,1766034,Mrunal Thakur,1
142,tt8869978,nm6598222,Nora Fatehi,1488785,Nora Fatehi,1
143,tt8869978,nm1303433,John Abraham,52971,John Abraham,2
144,tt12573294,nm3557375,Shine Tom Chacko,1296632,Shine Tom Chacko,2
147,tt1232776,nm3086235,Katie Jarvis,91643,Katie Jarvis,1
148,tt1232776,nm1055413,Michael Fassbender,17288,Michael Fassbender,2
149,tt1232776,nm1663573,Kierston Wareing,8309,Kierston Wareing,1
150,tt1087527,nm1157358,Michelle Monaghan,11705,Michelle Monaghan,1
151,tt1087527,nm0277213,Nathan Fillion,51797,Nathan Fillion,2
152,tt1087527,nm0000973,Benjamin Bratt,4589,Benjamin Bratt,2
153,tt0200071,nm0220183,Émilie Dequenne,23671,Émilie Dequenne,1
154,tt0200071,nm0740090,Fabrizio Rongione,70312,Fabrizio Rongione,2
155,tt0200071,nm0947650,Anne Yernaux,70311,Anne Yernaux,0
156,tt2656588,nm3825855,Joshua Burge,1099848,Joshua Burge,0
157,tt2656588,nm1811127,Joel Potrykus,1099847,Joel Potrykus,2
158,tt2656588,nm5920263,Teri Ann Nelson,1294855,Teri Ann Nelson,0
159,tt1024733,nm0000686,Christopher Walken,4690,Christopher Walken,2
160,tt1024733,nm0005273,Alessandro Nivola,4941,Alessandro Nivola,2
161,tt1024733,nm0000232,Sharon Stone,4430,Sharon Stone,1
162,tt8688634,nm1569276,Chadwick Boseman,172069,Chadwick Boseman,2
163,tt8688634,nm1092227,Sienna Miller,23459,Sienna Miller,1
164,tt8688634,nm0799777,J.K. Simmons,18999,J.K. Simmons,2
165,tt3836958,nm0000821,Amitabh Bachchan,35780,Amitabh Bachchan,2
166,tt3836958,nm1333687,Dhanush,550165,Dhanush,2
168,tt1437358,nm0869088,Luis Tosar,16867,Luis Tosar,2
169,tt1437358,nm1011070,Marta Etura,34019,Marta Etura,1
170,tt1437358,nm0760664,Alberto San Juan,27462,Alberto San Juan,2
