imdbID,tmdbID,Genre
tt0142688,622,Mystery
tt0142688,622,Thriller
tt0375880,69533,Drama
tt0375880,69533,Romance
tt0375880,69533,Thriller
tt0114924,2064,Romance
tt0114924,2064,Comedy
tt0059348,138030,Drama
tt0059348,138030,Romance
tt0360845,26347,Drama
tt0360845,26347,History
tt0280707,5279,Drama
tt0280707,5279,Mystery
tt0280707,5279,Thriller
tt6028620,501738,Drama
tt1024942,14898,Thriller
tt1024942,14898,Crime
tt1024942,14898,Drama
tt0050665,168069,Romance
tt0050665,168069,Music
tt0050665,168069,Mystery
tt0790799,19311,Animation
tt0790799,19311,Drama
tt0899138,20263,Drama
tt0243255,570,Drama
tt6292852,505948,Science Fiction
tt6292852,505948,Thriller
tt0102032,22792,Comedy
tt0073836,39988,Horror
tt0073836,39988,Thriller
tt0085400,33802,Drama
tt0184791,11065,Drama
tt0184791,11065,Romance
tt0184791,11065,Thriller
tt0410097,10476,Drama
tt0410097,10476,Music
tt1602620,86837,Drama
tt1602620,86837,Romance
tt0067656,5486,Horror
tt0067656,5486,Thriller
tt2535470,290999,Horror
tt2535470,290999,Action
tt2535470,290999,Comedy
tt0070468,32615,Crime
tt0070468,32615,Drama
tt6119856,450489,Comedy
tt6119856,450489,Romance
tt6119856,450489,Drama
tt0099348,581,Adventure
tt0099348,581,Drama
tt0099348,581,Western
tt0101526,26880,Romance
tt0101526,26880,Drama
tt6866224,489243,Thriller
tt6866224,489243,Drama
tt2717558,190754,Action
tt2717558,190754,Crime
tt0058155,28667,Horror
tt0058155,28667,Fantasy
tt0106332,10997,Drama
tt0791303,12408,Drama
tt0791303,12408,Romance
tt1876277,78215,War
tt1876277,78215,Action
tt1876277,78215,Drama
tt1270286,41144,Drama
tt1368491,52799,Drama
tt1368491,52799,Romance
tt7784604,493922,Horror
tt7784604,493922,Mystery
tt7784604,493922,Thriller
tt0085382,10489,Horror
tt0085382,10489,Thriller
tt1718924,375183,Drama
tt8869978,550485,Action
tt8869978,550485,Drama
tt8869978,550485,Thriller
tt1232776,24469,Drama
tt0200071,11489,Drama
tt2656588,253303,Comedy
tt2656588,253303,Drama
tt2656588,253303,Crime
tt8688634,535292,Crime
tt8688634,535292,Action
