imdbID,imdbDirectorID,DirectorName,tmdbDirectorID,Gender
tt0441774,nm0733149,Todd Robinson,16829,2
tt3335606,nm0795153,Cate Shortland,93286,1
tt0086079,nm0688585,Jean-Marie Poiré,64909,2
tt0425601,nm0154104,Mike Clattenburg,60962,2
tt0028773,nm0943758,William Wyler,10001,2
tt10483386,nm0348495,Sanjay Gupta,1770592,2
tt0086320,nm0385349,Robert Hiltzik,74671,2
tt3416742,nm1318596,Jemaine Clement,55936,2
tt3416742,nm0169806,Taika Waititi,55934,2
tt0173024,nm0520283,Konstantin Lopushanskiy,88782,2
tt5275476,nm1083116,Jan Henrik Stahlberg,5854,2
tt8783532,nm2120560,Grand Corps Malade,1186858,2
tt1270797,nm0281508,Ruben Fleischer,91268,2
tt0025452,nm0000033,Alfred Hitchcock,2636,2
tt3863870,nm2522719,Julia von Heinz,66936,1
tt0804505,nm0755158,Ira Sachs,53708,2
tt0043801,nm0621540,Mikio Naruse,125690,2
tt0365514,nm0955270,Takahisa Zeze,106549,2
tt4211044,nm2074041,Rachel Tunnard,1496470,1
tt0074254,nm0000265,Robert Altman,9789,2
tt0185481,nm0727336,Rintaro,58159,2
tt0185481,nm0960028,Katsuhiro Ôtomo,185,2
tt0081590,nm0959717,Lasse Åberg,79056,2
tt0095715,nm0840905,Jan Svankmajer,83784,2
tt0052572,nm0006249,Satyajit Ray,12160,2
tt0267129,nm0954437,Ariel Zeitoun,23728,2
tt0267129,nm0785164,Julien Seri,51483,2
tt2717860,nm0771054,Lone Scherfig,1176,1
tt0112922,nm0407067,Álex de la Iglesia,57865,2
tt2301592,nm0423524,Alejandro Jodorowsky,55119,2
tt0031067,nm0437717,Garson Kanin,100131,2
tt3687186,nm1509478,Benny Safdie,227564,2
tt3687186,nm1343394,Josh Safdie,129561,2
tt2002868,nm0433895,K.V. Anand,110701,2
tt0064855,nm0002049,Robert Downey Sr.,59874,2
tt0083580,nm0653620,Gérard Oury,11195,2
tt0189981,nm0765291,Robert Sarkies,67106,2
tt10431500,nm3133017,Mehmet Ada Öztekin,230767,2
tt5158522,nm1463145,Hope Dickson Leach,1673672,1
tt0054821,nm0578483,Jean-Pierre Melville,3831,2
tt1421048,nm1360971,Shane Dax Taylor,59502,2
tt9900782,nm7992231,Lokesh Kanagaraj,1592411,2
tt0983213,nm1396121,Makoto Shinkai,74091,2
tt3305316,nm0081540,Susanne Bier,1011,1
tt0189584,nm0841647,John Swanbeck,998589,2
tt0115650,nm0785684,Coline Serreau,35208,1
tt0079501,nm0004306,George Miller,20629,2
tt2636124,nm1496044,Masahiko Murata,116065,2
tt2636124,nm0457124,Kazuchika Kise,16142,2
tt11655202,nm0421314,Anders Thomas Jensen,1012,2
tt0075824,nm0000320,Luis Buñuel,793,2
tt0067227,nm0001202,Rainer Werner Fassbinder,2725,2
tt6727296,nm4750968,Ashok G.,932630,2
tt1839494,nm1396121,Makoto Shinkai,74091,2
tt0220631,nm0898063,Agustí Villaronga,151162,2
tt0248408,nm0378660,Michael Herbig,18072,2
tt1196204,nm0315041,Ricky Gervais,17835,2
tt1196204,nm0580351,Stephen Merchant,39189,2
tt4569240,nm0687751,Rodrigo Plá,78880,2
tt0036699,nm0939992,Sam Wood,10790,2
tt4003440,nm0001885,Lars von Trier,42,2
tt5308322,nm0484907,Christopher Landon,54248,2
tt0988982,nm1145578,Hajime Kamegaki,89972,2
tt1650453,nm0466153,Hirokazu Koreeda,25645,2
tt0026056,nm0828419,George Stevens,18738,2
tt5287168,nm1840544,Amanda Kernell,1487095,1
tt6336356,nm0948488,Hiromasa Yonebayashi,144476,2
tt6336356,nm1099016,Giles New,1713,2
tt3499048,nm2091911,Alonso Ruizpalacios,1305360,2
tt0019702,nm0000033,Alfred Hitchcock,2636,2
tt0308280,nm0796504,Siddique,230008,2
tt0062767,nm0291035,Melvin Frank,50567,2
tt0059646,nm0000591,Roman Polanski,3556,2
tt0052738,nm0828419,George Stevens,18738,2
tt0222150,nm0846119,Juan Carlos Tabío,72647,2
tt0057681,nm0002137,Arthur Hiller,133259,2
tt0416471,nm1656172,Aric Avelino,555518,2
tt0108394,nm0001425,Krzysztof Kieslowski,1126,2
tt0405296,nm0000500,Richard Linklater,564,2
tt0290210,nm0583675,Menno Meyjes,736,2
tt0049043,nm0054219,Juan Antonio Bardem,71522,2
tt0027948,nm0000406,John Ford,8500,2
tt0027948,nm0329574,Leslie Goodwins,103346,2
tt7142506,nm1402184,Rohena Gera,1046688,1
tt2085002,nm3307527,Gabriela Pichler,1085916,1
tt0087821,nm0006445,Éric Rohmer,28615,2
tt0091983,nm0001129,Jonathan Demme,16294,2
tt0065086,nm0000265,Robert Altman,9789,2
tt1508290,nm0906709,Kôji Wakamatsu,134811,2
tt0031359,nm0225555,Thorold Dickinson,253716,2
tt0075467,nm0299586,Zoltán Fábri,55969,2
tt6730898,nm1556957,Daniel Fabelo,1520549,2
tt0226874,nm0411746,Shun'ya Itô,107563,2
tt0419279,nm0740213,Darrell Roodt,16730,2
tt0275230,nm0457541,Hiroyuki Kitakubo,16136,2
tt0472160,nm0657372,Mark Palansky,53525,2
tt4076058,nm2546059,Burhan Qurbani,1365658,2
tt0785035,nm1388074,Tony Jaa,57207,2
tt0785035,nm1437277,Panna Rittikrai,57274,2
tt0356922,nm0687913,Bruno Podalydès,21769,2
tt0097770,nm0283500,John Flynn,38689,2
tt0104155,nm0822582,Richard Stanley,42175,2
tt8191502,nm5396854,Go-Woon Jeon,1970202,1
tt0381442,nm0500976,Gilles Lellouche,54291,2
tt0084649,nm0089940,Don Bluth,40345,2
tt0250125,nm0051999,Rakhshan Banietemad,1061523,1
tt0972544,nm1641117,Alex Pettyfer,61363,2
tt0338348,nm0000709,Robert Zemeckis,24,2
tt0892318,nm0935095,Gary Winick,17046,2
tt0439533,nm0408043,Hiroyuki Imaishi,109191,2
tt0906778,nm0644309,Paula van der Oest,587376,1
tt0120122,nm0777447,Stefan Schwartz,94155,2
tt0026073,nm0828419,George Stevens,18738,2
tt1845838,nm1193346,Sean Ellis,32250,2
tt0119347,nm0935863,Michael Winterbottom,172,2
tt3186318,nm0133773,Kat Candler,1136502,1
tt0107920,nm0516360,Ken Loach,15488,2
tt0085900,nm0220227,Jacques Deray,40235,2
tt0985694,nm0001675,Robert Rodriguez,2294,2
tt0431979,nm0064741,Xavier Beauvois,72320,2
tt1618434,nm1760830,Kyle Newacheck,1254001,2
tt0039826,nm0908831,Richard Wallace,95723,2
tt0996605,nm0393394,Christophe Honoré,76910,2
tt0072976,nm0001202,Rainer Werner Fassbinder,2725,2
tt4919484,nm0755158,Ira Sachs,53708,2
tt1891769,nm0481451,Jean-François Laguionie,119234,2
tt4258292,nm1069826,Gautham Vasudev Menon,120953,2
tt0125659,nm0024622,Alejandro Amenábar,19840,2
tt0040512,nm0287988,Norman Foster,87459,2
tt0078780,nm0513974,Steven Lisberger,12859,2
tt0448206,nm1249945,Shaad Ali,71088,2
tt0376890,nm0000626,John Sayles,102445,2
tt0352230,nm0033005,Vicente Aranda,105153,2
tt0120746,nm0132709,Martin Campbell,10702,2
tt0098412,nm0382776,Anthony Hickox,48965,2
tt0427309,nm0000243,Denzel Washington,5292,2
tt0325596,nm0725345,Roland Suso Richter,33036,2
tt1124394,nm1457822,Antti-Jussi Annila,72480,2
tt1838603,nm0626686,Sandra Nettelbeck,18903,1
tt0838231,nm0242064,Peter Duncan,61335,2
tt2172584,nm0000343,David Cronenberg,224,2
tt6061074,nm3229507,Olivia Newman,1973189,1
tt0787523,nm0050332,Alan Ball,2152,2
tt0057295,nm0393094,Ishirô Honda,18598,2
tt4769824,nm0441090,Sunao Katabuchi,239858,2
tt0480083,nm0774221,Gregor Schnitzler,42457,2
tt0053716,nm0850895,Frank Tashlin,47399,2
tt0192657,nm0437625,Je-kyu Kang,64883,2
tt0293662,nm0504642,Louis Leterrier,18865,2
tt0293662,nm0477035,Corey Yuen,35452,2
tt0050629,nm0368871,Henry Hathaway,37360,2
tt0077383,nm0850601,Béla Tarr,85637,2
tt0430431,nm0756935,Michael O. Sajbel,87178,2
tt1999987,nm2035886,Drake Doremus,132964,2
tt7983894,nm0497274,Francis Lee,192852,2
tt0093223,nm0000519,David Mamet,1255,2
tt0340377,nm0565336,Tom McCarthy,17867,2
tt0119937,nm0416945,Steve James,122449,2
tt8430598,nm2528451,Josephine Decker,1033654,1
tt4602066,nm0506802,Ben Lewin,168330,2
tt6987770,nm0505741,Victor Levin,82937,2
tt0177858,nm0015359,Fatih Akin,5125,2
tt1355631,nm1026778,Brad Furman,144221,2
tt0093894,nm0001274,Paul Michael Glaser,12988,2
tt0109219,nm0001775,Whit Stillman,78188,2
tt0167137,nm0081540,Susanne Bier,1011,1
tt0073114,nm0000076,François Truffaut,1650,2
tt5247704,nm0458251,Cédric Klapisch,17520,2
tt0059776,nm0417352,Miklós Jancsó,137349,2
tt0102293,nm0482670,Ngai Choi Lam,81913,2
tt0033727,nm0281487,Dave Fleischer,143463,2
tt0168629,nm0001885,Lars von Trier,42,2
tt1185616,nm0284369,Ari Folman,56198,2
tt1580704,nm0440604,Anurag Kashyap,85670,2
tt1233301,nm0257646,Jonathan English,83730,2
