imdbID,imdbDirectorID,DirectorName
tt0419058,nm0903423,Neeraj Vora
tt5204020,nm1257492,Radu Jude
tt0372478,nm0879783,Aleksey Uchitel
tt4981636,nm0139867,Steve Carr
tt4253360,nm2463304,Seok-hoon Lee
tt0101516,nm0001469,Barry Levinson
tt0094933,nm0417708,Annabel Jankel
tt0094933,nm0608084,Rocky Morton
tt7941892,nm2967345,Masashi Koizuka
tt2534660,nm3761088,Martti Helde
tt0061209,nm0000338,Francis Ford Coppola
tt9816970,nm7922386,Mohammad Hossein Mahdavian
tt2319580,nm0001528,Don McKellar
tt0009652,nm0624714,Marshall Neilan
tt1483753,nm2272926,Lisa Langseth
tt0499101,nm0321894,Matthias Glasner
tt0464184,nm1503386,Chris Graham
tt0050928,nm0695937,Otto Preminger
tt0887745,nm1396104,Anthony Byrne
tt0255373,nm0698184,Priyadarshan
tt2409300,nm3125415,Kimo Stamboel
tt2409300,nm3464186,Timo Tjahjanto
tt0059114,nm0275034,Giorgio Ferroni
tt0092637,nm0000425,Peter Greenaway
tt2980648,nm0002120,Lasse Hallström
tt0065916,nm0000814,John G. Avildsen
tt0123755,nm0622112,Vincenzo Natali
tt4072326,nm0438090,Asif Kapadia
tt0074718,nm0849609,Alain Tanner
tt0070641,nm0069166,Marco Bellocchio
tt0280990,nm0802807,Florent-Emilio Siri
tt0019412,nm0928514,Ted Wilde
tt0375679,nm0353673,Paul Haggis
tt0441774,nm0733149,Todd Robinson
tt3335606,nm0795153,Cate Shortland
tt0086079,nm0688585,Jean-Marie Poiré
tt0425601,nm0154104,Mike Clattenburg
tt1151923,nm0179542,Sebastián Cordero
tt5946128,nm1903006,Gauri Shinde
tt0028773,nm0943758,William Wyler
tt10483386,nm0348495,Sanjay Gupta
tt0086320,nm0385349,Robert Hiltzik
tt4047112,nm3607398,Suseenthiran
tt3416742,nm1318596,Jemaine Clement
tt3416742,nm0169806,Taika Waititi
tt8311958,nm3486709,Gabriel Mascaro
tt2538222,nm0810997,Roberto Sneider
tt0074947,nm0579954,Jirí Menzel
tt0173024,nm0520283,Konstantin Lopushanskiy
tt5275476,nm1083116,Jan Henrik Stahlberg
tt8783532,nm8381788,Mehdi Idir
tt8783532,nm2120560,Grand Corps Malade
tt1270797,nm0281508,Ruben Fleischer
tt0301181,nm0362544,Gary Hardwick
tt1544600,nm3686896,David G. Evans
tt0772157,nm0144023,Zoe R. Cassavetes
tt0025452,nm0000033,Alfred Hitchcock
tt3863870,nm2522719,Julia von Heinz
tt0804505,nm0755158,Ira Sachs
tt6777056,nm8921482,Kantemir Balagov
tt0424273,nm1718052,Jiang Xiao
tt0123328,nm0150897,Fruit Chan
tt0043801,nm0621540,Mikio Naruse
tt0365514,nm0955270,Takahisa Zeze
tt4211044,nm2074041,Rachel Tunnard
tt6615894,nm5432920,Nirmal Sahadev
tt0074254,nm0000265,Robert Altman
tt6284064,nm0560434,Lorenzo Mattotti
tt0185481,nm0159109,Yoshiaki Kawajiri
tt0185481,nm0727336,Rintaro
tt0185481,nm0960028,Katsuhiro Ôtomo
tt0042235,nm0163229,René Clair
tt1754257,nm0501165,Richard LeMay
tt0081590,nm0959717,Lasse Åberg
tt1274293,nm1569807,Dong-hoon Choi
tt0095715,nm0840905,Jan Svankmajer
tt0052572,nm0006249,Satyajit Ray
tt0267129,nm0954437,Ariel Zeitoun
tt0267129,nm0785164,Julien Seri
tt2717860,nm0771054,Lone Scherfig
tt3452948,nm2994652,Ester Martin Bergsmark
tt0112922,nm0407067,Álex de la Iglesia
tt2301592,nm0423524,Alejandro Jodorowsky
tt0807943,nm1626425,Sreenu Vaitla
tt0031067,nm0437717,Garson Kanin
tt1860353,nm1659741,David Soren
tt0283269,nm0547713,Dragan Marinkovic
tt3687186,nm1509478,Benny Safdie
tt3687186,nm1343394,Josh Safdie
tt2002868,nm0433895,K.V. Anand
tt0064855,nm0002049,Robert Downey Sr.
tt0083580,nm0653620,Gérard Oury
tt0189981,nm0765291,Robert Sarkies
